SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0103679,1,84,21,1,1,1,19,22900,0,4540,2,1,1,5,1,04109,1019518
2023GQ0103708,1,76,29,1,8,24,19,20000,128,4020,2,1,5,5,2,04111,1019518
2023GQ0103776,1,61,83,2,1,1,16,18700,132,0,0,6,1,3,1,04414,1019518
2023GQ0103784,1,58,86,2,2,1,16,31000,0,0,0,6,1,3,1,04312,1019518
2023GQ0103785,1,3,49,1,1,1,17,16200,104,0,0,6,1,5,1,04312,1019518
2023GQ0103882,1,11,71,2,9,9,21,30200,213,5860,2,6,4,5,2,04109,1019518
2023GQ0103944,1,91,53,1,2,1,16,19100,121,0,0,6,1,5,1,04112,1019518
2023GQ0103967,1,28,71,1,2,1,19,18100,0,0,0,6,1,5,1,04107,1019518
2023GQ0104018,1,159,49,1,8,1,17,0,0,0,0,6,3,1,1,04316,1019518
2023GQ0104055,1,68,19,2,2,1,19,6000,0,4640,1,1,1,5,1,04503,1019518
2023GQ0104131,1,93,65,1,2,1,21,0,0,0,0,6,5,1,2,04317,1019518
2023GQ0104210,1,7,27,1,1,1,17,16100,103,0,0,6,1,5,1,04314,1019518
2023GQ0104275,1,65,68,1,9,5,11,0,0,0,0,6,4,5,2,04208,1019518
2023GQ0104290,1,96,43,1,9,3,17,540,3,4020,1,6,2,5,1,04317,1019518
2023GQ0104309,1,37,19,1,1,1,18,2500,0,4720,1,6,1,5,1,04302,1019518
2023GQ0104317,1,60,19,2,6,1,18,0,0,0,0,6,5,5,2,04165,1019518
2023GQ0104470,1,74,73,1,1,1,16,0,0,0,0,6,5,2,2,04221,1019518
2023GQ0104502,1,130,18,2,6,1,18,0,0,0,0,6,5,5,2,04103,1019518
2023GQ0104535,1,45,64,1,1,1,16,0,0,4030,1,6,1,5,1,04306,1019518
2023GQ0104553,1,97,78,1,2,1,1,0,0,0,0,6,1,5,1,04221,1019518
2023GQ0104645,1,107,42,2,9,3,20,380000,501,3421,1,1,1,5,1,04204,1019518
2023GQ0104707,1,9,58,2,2,2,19,0,0,0,0,6,1,5,1,04412,1019518
2023GQ0104725,1,16,26,2,1,1,18,5000,31,4720,1,3,1,5,1,04263,1019518
2023GQ0104747,1,71,38,1,2,1,11,0,0,0,0,6,1,5,1,04303,1019518
2023GQ0104803,1,55,75,1,9,24,8,19400,0,0,0,6,1,1,1,04303,1019518
2023GQ0104806,1,66,90,2,1,1,20,23300,0,0,0,6,1,1,1,04305,1019518
2023GQ0104873,1,78,43,1,9,21,21,7000,45,6260,1,1,5,1,2,04414,1019518
2023GQ0104938,1,68,27,2,1,1,19,3000,0,1555,1,1,4,5,2,04165,1019518
2023GQ0104965,1,6,20,2,2,1,17,7000,45,3602,1,6,1,5,1,04315,1019518
2023GQ0104982,1,116,40,2,2,1,12,0,0,0,0,6,1,5,1,04103,1019518
2023GQ0104994,1,55,63,1,1,1,24,7300,46,2040,2,1,1,5,1,04121,1019518
2023GQ0105056,1,3,48,1,1,1,1,2400,15,0,0,6,1,5,1,04503,1019518
2023GQ0105058,1,88,28,2,9,2,16,1200,7,0,0,6,5,5,2,04413,1019518
2023GQ0105112,1,64,18,2,1,1,16,6000,0,4030,1,1,1,5,1,04165,1019518
2023GQ0105127,1,34,76,1,1,1,16,3600,0,0,0,6,5,3,2,04407,1019518
2023GQ0105131,1,3,16,2,1,1,14,0,0,0,0,6,1,5,1,04211,1019518
2023GQ0105153,1,69,20,2,6,1,19,0,0,0,0,6,4,5,2,04104,1019518
2023GQ0105239,1,73,95,2,2,1,11,28900,0,0,0,6,1,4,1,04414,1019518
2023GQ0105313,1,99,50,2,2,1,17,9000,58,0,0,6,1,5,1,04402,1019518
2023GQ0105319,1,86,0,2,2,1,0,0,0,0,0,0,1,5,1,04412,1019518
2023GQ0105342,1,50,82,1,2,1,21,18900,0,0,0,6,1,5,1,04302,1019518
2023GQ0105543,1,105,60,1,1,1,20,1200,7,0,0,6,5,3,2,04103,1019518
2023GQ0105569,1,97,25,1,2,1,15,15600,100,7510,6,1,1,5,1,04103,1019518
2023GQ0105613,1,5,17,1,8,3,13,15800,0,0,0,6,1,5,1,04103,1019518
2023GQ0105694,1,16,35,2,9,13,1,17000,110,9645,1,1,4,5,2,04413,1019518
2023GQ0105711,1,19,71,2,2,1,17,11200,77,0,0,6,1,5,1,04315,1019518
2023GQ0105725,1,28,70,2,6,1,16,2200,15,0,0,6,1,5,1,04501,1019518
2023GQ0105810,1,73,19,1,1,1,18,0,0,0,0,6,1,5,1,04314,1019518
2023GQ0105851,1,8,35,1,2,1,16,11400,74,0,0,6,1,5,1,04402,1019518
2023GQ0105871,1,61,91,1,6,1,21,0,0,0,0,6,4,2,2,04414,1019518
2023GQ0105890,1,25,95,2,2,1,22,0,0,0,0,6,1,2,1,04210,1019518
2023GQ0105901,1,57,45,2,2,1,16,18300,116,4020,1,2,5,1,2,04263,1019518
2023GQ0105962,1,26,38,2,1,1,1,20200,132,0,0,6,1,5,1,04310,1019518
2023GQ0106028,1,19,28,2,2,1,21,1500,0,3255,1,1,1,5,1,04111,1019518
2023GQ0106068,1,91,63,2,8,1,19,10500,67,0,0,6,1,3,1,04316,1019518
2023GQ0106187,1,4,59,1,2,1,16,12000,78,0,0,6,1,5,1,04112,1019518
2023GQ0106242,1,6,45,1,1,1,23,31500,206,2040,2,1,1,5,1,04310,1019518
2023GQ0106446,1,111,6,1,2,24,3,0,0,0,0,0,1,5,1,04404,1019518
2023GQ0106454,1,28,95,2,1,1,16,1800,0,0,0,6,1,2,1,04313,1019518
2023GQ0106485,1,19,47,2,2,1,21,0,0,0,0,6,1,5,1,04165,1019518
2023GQ0106536,1,74,54,1,9,3,13,5700,37,0,0,6,2,5,1,04221,1019518
2023GQ0106560,1,43,84,2,6,1,21,41800,0,0,0,6,4,2,2,04107,1019518
2023GQ0106561,1,2,37,2,8,3,1,17100,109,0,0,6,1,5,1,04208,1019518
2023GQ0106603,1,35,19,2,1,1,16,7000,0,4110,1,6,1,5,1,04104,1019518
2023GQ0106612,1,2,59,2,2,1,11,16200,103,0,0,6,1,5,1,04411,1019518
2023GQ0106634,1,13,21,1,6,1,18,9000,0,3645,1,1,4,5,2,04208,1019518
2023GQ0106659,1,72,19,1,9,5,19,0,0,4622,3,6,1,5,1,04408,1019518
2023GQ0106660,1,35,53,1,2,1,19,15600,98,0,0,6,1,5,1,04263,1019518
2023GQ0106741,1,27,82,2,1,1,18,11460,0,0,0,6,1,2,1,04108,1019518
2023GQ0106755,1,29,22,1,1,1,19,22900,0,4540,2,1,1,5,1,04112,1019518
2023GQ0106862,1,64,89,2,8,5,16,0,0,0,0,6,5,2,2,04211,1019518
2023GQ0106892,1,4,38,2,1,1,17,4200,27,4720,1,6,1,5,1,04301,1019518
2023GQ0106903,1,9,29,1,9,16,16,7800,50,9130,1,1,5,1,2,04407,1019518
2023GQ0106914,1,53,78,1,6,1,11,0,0,0,0,6,5,1,2,04413,1019518
