SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0007516,1,0,,3
2023GQ0007533,1,,,3
2023GQ0007550,1,,,2
2023GQ0007555,1,,,3
2023GQ0007557,1,,,3
2023GQ0007604,1,,,3
2023GQ0007606,1,,,2
2023GQ0007693,1,0,,3
2023GQ0007705,1,,,2
2023GQ0007766,1,501,,3
2023GQ0007787,1,415,,3
2023GQ0007819,1,,,2
2023GQ0007833,1,,,2
2023GQ0007879,1,,,2
2023GQ0007892,1,0,,3
2023GQ0007936,1,141,,3
2023GQ0007985,1,,,2
2023GQ0008012,1,,,2
2023GQ0008053,1,87,,3
2023GQ0008108,1,,,2
2023GQ0008118,1,121,,3
2023GQ0008134,1,,,2
2023GQ0008145,1,15,,3
2023GQ0008298,1,,,3
2023GQ0008368,1,119,,3
2023GQ0008372,1,,,2
2023GQ0008388,1,,,2
2023GQ0008389,1,168,,3
2023GQ0008415,1,,,2
2023GQ0008428,1,13,,3
2023GQ0008429,1,0,,3
2023GQ0008452,1,0,,3
2023GQ0008483,1,0,,3
2023GQ0008520,1,131,,3
2023GQ0008528,1,144,,3
2023GQ0008555,1,,,3
2023GQ0008603,1,132,,3
2023GQ0008645,1,,,3
2023GQ0008648,1,3,,3
2023GQ0008764,1,,,3
2023GQ0008766,1,,,3
2023GQ0008812,1,0,,3
2023GQ0008846,1,,,2
2023GQ0008884,1,501,,3
2023GQ0008929,1,215,,3
2023GQ0009025,1,,,2
2023GQ0009072,1,0,,3
2023GQ0009125,1,65,,3
2023GQ0009141,1,,,2
2023GQ0009147,1,,,2
2023GQ0009215,1,,,3
2023GQ0009300,1,,,3
2023GQ0009308,1,,,2
2023GQ0009312,1,,,2
2023GQ0009321,1,,,2
2023GQ0009332,1,,,3
2023GQ0009421,1,,,2
2023GQ0009447,1,,,2
2023GQ0009465,1,,,2
2023GQ0009483,1,,,3
2023GQ0009486,1,,,2
2023GQ0009666,1,139,,3
2023GQ0009673,1,,,2
2023GQ0009705,1,,,2
2023GQ0009738,1,,,3
2023GQ0009780,1,,,3
2023GQ0009830,1,,,2
2023GQ0009836,1,113,,3
2023GQ0009963,1,,,3
2023GQ0009971,1,,,2
2023GQ0010060,1,0,,3
2023GQ0010104,1,501,,3
2023GQ0010114,1,136,,3
2023GQ0010132,1,6,,3
2023GQ0010150,1,,,2
2023GQ0010192,1,,,3
2023GQ0010201,1,37,,3
2023GQ0010261,1,,,3
2023GQ0010268,1,110,,3
2023GQ0010269,1,,,3
2023GQ0010286,1,,,3
2023GQ0010318,1,202,,3
2023GQ0010324,1,,,2
2023GQ0010326,1,123,,3
2023GQ0010343,1,,,2
2023GQ0010349,1,17,,3
2023GQ0010487,1,111,,3
2023GQ0010527,1,38,,3
2023GQ0010583,1,,,2
2023GQ0010700,1,12,,3
2023GQ0010729,1,12,,3
2023GQ0010755,1,,,3
2023GQ0010778,1,0,,3
2023GQ0010867,1,212,,3
2023GQ0010961,1,,,2
2023GQ0011113,1,115,,3
2023GQ0011180,1,,,2
2023GQ0011210,1,,,3
2023GQ0011249,1,,,3
2023GQ0011291,1,118,,3
2023GQ0011351,1,0,,3
2023GQ0011384,1,,,3
2023GQ0011507,1,,,3
2023GQ0011560,1,,,2
2023GQ0011568,1,,,3
2023GQ0011591,1,,,2
2023GQ0011633,1,,,2
2023GQ0011638,1,,,2
2023GQ0011812,1,83,,3
2023GQ0011815,1,132,,3
2023GQ0011829,1,,,2
2023GQ0011877,1,,,3
2023GQ0011896,1,115,,3
2023GQ0011932,1,,,2
2023GQ0011965,1,,,2
2023GQ0012077,1,,,3
2023GQ0012114,1,382,,3
2023GQ0012123,1,,,2
2023GQ0012130,1,0,,3
2023GQ0012151,1,17,,3
2023GQ0012220,1,,,2
2023GQ0012274,1,380,,3
2023GQ0012362,1,,,2
2023GQ0012366,1,,,2
2023GQ0012374,1,,,3
2023GQ0012489,1,0,,3
2023GQ0012513,1,,,3
2023GQ0012521,1,483,,3
2023GQ0012626,1,0,,3
2023GQ0012670,1,102,,3
2023GQ0012675,1,17,,3
2023GQ0012780,1,,,2
2023GQ0012793,1,,,2
2023GQ0012832,1,1,,3
2023GQ0012859,1,123,,3
2023GQ0012875,1,,,2
2023GQ0012896,1,,,2
2023GQ0012915,1,,,3
2023GQ0012967,1,,,3
2023GQ0012983,1,,,3
2023GQ0013119,1,,,3
2023GQ0013166,1,258,,3
2023GQ0013189,1,131,,3
2023GQ0013201,1,,,2
2023GQ0013227,1,,,2
2023GQ0013292,1,102,,3
2023GQ0013330,1,,,3
2023GQ0013450,1,,,2
2023GQ0013539,1,,,2
2023GQ0013555,1,,,3
2023GQ0013573,1,,,3
2023GQ0013603,1,,,2
2023GQ0013679,1,,,2
2023GQ0013704,1,,,2
2023GQ0013727,1,112,,3
2023GQ0013765,1,,,3
2023GQ0013789,1,,,3
2023GQ0013869,1,,,3
2023GQ0013955,1,,,2
2023GQ0013970,1,,,3
2023GQ0014053,1,501,,3
2023GQ0014113,1,124,,3
2023GQ0014256,1,185,,3
2023GQ0014278,1,,,3
2023GQ0014297,1,,,3
2023GQ0014314,1,,,3
2023GQ0014392,1,,,2
2023GQ0014433,1,13,,3
2023GQ0014501,1,115,,3
2023GQ0014629,1,191,,3
2023GQ0014668,1,,,2
2023GQ0014682,1,,,3
2023GQ0014683,1,0,,3
2023GQ0014688,1,,,3
2023GQ0014708,1,,,2
2023GQ0014748,1,,,2
2023GQ0014758,1,,,2
2023GQ0014832,1,,,2
2023GQ0014893,1,,,2
2023GQ0014955,1,86,,3
2023GQ0014965,1,,,2
2023GQ0014974,1,124,,3
2023GQ0015012,1,,,2
2023GQ0015150,1,65,,3
2023GQ0015152,1,,,3
2023GQ0015167,1,22,,3
2023GQ0015182,1,,,2
2023GQ0015202,1,,,3
2023GQ0015289,1,,,3
2023GQ0015290,1,,,2
2023GQ0015398,1,,,2
2023GQ0015402,1,,,3
2023GQ0015405,1,,,3
2023GQ0015439,1,,,3
2023GQ0015483,1,,,2
2023GQ0015486,1,22,,3
2023GQ0015535,1,,,3
2023GQ0015562,1,,,2
2023GQ0015564,1,,,2
2023GQ0015615,1,13,,3
2023GQ0015678,1,3,,3
2023GQ0015694,1,,,2
2023GQ0015727,1,,,2
2023GQ0015734,1,22,,3
2023GQ0015761,1,,,2
2023GQ0015779,1,,,3
2023GQ0015814,1,,,3
2023GQ0015845,1,,,3
2023GQ0016056,1,,,3
2023GQ0016073,1,,,2
2023GQ0016111,1,,,3
2023GQ0016141,1,,,3
2023GQ0016378,1,,,2
2023GQ0016395,1,,,2
