SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0033123,1,58,,3
2023GQ0033125,1,,,2
2023GQ0033366,1,,,3
2023GQ0033506,1,12,,3
2023GQ0033715,1,,,3
2023GQ0033981,1,0,,3
2023GQ0033987,1,53,,3
2023GQ0034030,1,,,2
2023GQ0034103,1,,,2
2023GQ0034107,1,,,2
2023GQ0034192,1,,,3
2023GQ0034239,1,73,,3
2023GQ0034371,1,,,2
2023GQ0034493,1,100,,3
2023GQ0034963,1,,,2
2023GQ0035050,1,46,,3
2023GQ0035225,1,64,,3
2023GQ0035437,1,,,2
2023GQ0035445,1,,,2
2023GQ0035520,1,111,,3
2023GQ0035558,1,,,2
2023GQ0035605,1,,,3
2023GQ0035877,1,,,3
2023GQ0036160,1,,,2
2023GQ0036188,1,,,2
2023GQ0036207,1,,,3
2023GQ0036214,1,,,2
2023GQ0036226,1,,,2
2023GQ0036376,1,62,,3
2023GQ0036453,1,,,2
2023GQ0036531,1,67,,3
2023GQ0037403,1,73,,3
2023GQ0037431,1,,,3
2023GQ0037535,1,91,,3
2023GQ0037729,1,,,2
2023GQ0037753,1,,,3
2023GQ0037882,1,100,,3
2023GQ0037960,1,,,3
2023GQ0038105,1,,,2
2023GQ0038121,1,,,2
2023GQ0038301,1,,,2
2023GQ0038308,1,,,2
2023GQ0038376,1,91,,3
2023GQ0038503,1,76,,3
2023GQ0038540,1,129,,3
2023GQ0038722,1,,,2
2023GQ0038874,1,,,3
2023GQ0039017,1,,,2
2023GQ0039062,1,,,2
2023GQ0039467,1,,,2
2023GQ0039511,1,,,2
2023GQ0039722,1,62,,3
2023GQ0040025,1,,,2
2023GQ0040242,1,,,2
2023GQ0040503,1,,,2
2023GQ0040891,1,,,2
2023GQ0041164,1,162,,3
2023GQ0041258,1,,,2
2023GQ0041610,1,64,,3
2023GQ0042211,1,100,,3
2023GQ0042542,1,,,2
2023GQ0042875,1,,,2
2023GQ0042900,1,,,2
2023GQ0042969,1,,,2
2023GQ0042979,1,147,,3
2023GQ0043193,1,,,3
2023GQ0043334,1,,,2
2023GQ0043636,1,76,,3
2023GQ0044244,1,,,2
2023GQ0044923,1,,,3
2023GQ0045235,1,,,2
2023GQ0045260,1,166,,3
2023GQ0045661,1,,,3
2023GQ0045766,1,84,,3
2023GQ0046039,1,0,,3
2023GQ0046058,1,,,2
2023GQ0046138,1,,,2
2023GQ0046152,1,,,2
