SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0008490,1,,,3
2023GQ0008572,1,159,,3
2023GQ0008623,1,,,3
2023GQ0008695,1,,,3
2023GQ0008820,1,,,3
2023GQ0008827,1,,,2
2023GQ0008943,1,,,3
2023GQ0008947,1,,,2
2023GQ0008968,1,,,3
2023GQ0009189,1,90,,3
2023GQ0009209,1,,,2
2023GQ0009218,1,,,2
2023GQ0009227,1,,,2
2023GQ0009228,1,,,3
2023GQ0009232,1,117,,3
2023GQ0009236,1,213,,3
2023GQ0009243,1,,,2
2023GQ0009285,1,1,,3
2023GQ0009337,1,123,,3
2023GQ0009338,1,,,3
2023GQ0009358,1,,,3
2023GQ0009453,1,157,,3
2023GQ0009461,1,95,,3
2023GQ0009463,1,,,3
2023GQ0009491,1,,,3
2023GQ0009528,1,,,2
2023GQ0009575,1,0,,3
2023GQ0009643,1,0,,3
2023GQ0009861,1,,,3
2023GQ0009882,1,,,3
2023GQ0010029,1,,,3
2023GQ0010113,1,,,3
2023GQ0010115,1,,,2
2023GQ0010122,1,16,,3
2023GQ0010161,1,22,,3
2023GQ0010206,1,,,2
2023GQ0010214,1,,,3
2023GQ0010240,1,,,3
2023GQ0010258,1,93,,3
2023GQ0010301,1,176,,3
2023GQ0010332,1,4,,3
2023GQ0010362,1,,,2
2023GQ0010419,1,,,2
2023GQ0010488,1,,,2
2023GQ0010519,1,,,3
2023GQ0010528,1,134,,3
2023GQ0010557,1,,,3
2023GQ0010612,1,,,2
2023GQ0010617,1,,,3
2023GQ0010626,1,,,3
2023GQ0010672,1,99,,3
2023GQ0010708,1,,,3
2023GQ0010811,1,0,,3
2023GQ0010829,1,144,,3
2023GQ0010852,1,,,3
2023GQ0010869,1,0,,3
2023GQ0010885,1,,,3
2023GQ0010917,1,,,2
2023GQ0010962,1,121,,3
2023GQ0010970,1,,,3
2023GQ0011011,1,,,3
2023GQ0011025,1,,,3
2023GQ0011058,1,0,,3
2023GQ0011092,1,114,,3
2023GQ0011130,1,,,3
2023GQ0011196,1,407,,3
2023GQ0011207,1,0,,3
2023GQ0011223,1,16,,3
2023GQ0011240,1,,,3
2023GQ0011350,1,,,3
2023GQ0011357,1,0,,3
2023GQ0011376,1,18,,3
2023GQ0011392,1,42,,3
2023GQ0011416,1,,,3
2023GQ0011424,1,15,,3
2023GQ0011497,1,,,3
2023GQ0011546,1,,,2
2023GQ0011553,1,172,,3
2023GQ0011612,1,,,2
2023GQ0011626,1,,,3
2023GQ0011661,1,,,3
2023GQ0011764,1,15,,3
2023GQ0011783,1,0,,3
2023GQ0011843,1,118,,3
2023GQ0011889,1,103,,3
2023GQ0012024,1,,,2
2023GQ0012096,1,213,,3
2023GQ0012118,1,,,3
2023GQ0012124,1,80,,3
2023GQ0012145,1,206,,3
2023GQ0012264,1,,,2
2023GQ0012272,1,,,3
2023GQ0012278,1,109,,3
2023GQ0012318,1,125,,3
2023GQ0012332,1,,,2
2023GQ0012352,1,,,2
2023GQ0012418,1,,,2
2023GQ0012449,1,,,3
2023GQ0012464,1,14,,3
2023GQ0012561,1,,,2
2023GQ0012603,1,0,,3
2023GQ0012662,1,,,3
2023GQ0012708,1,,,2
2023GQ0012712,1,83,,3
2023GQ0012768,1,6,,3
2023GQ0012809,1,,,2
2023GQ0012883,1,251,,3
2023GQ0012923,1,,,2
2023GQ0012956,1,137,,3
2023GQ0012994,1,,,2
2023GQ0013002,1,0,,3
2023GQ0013004,1,,,3
2023GQ0013090,1,,,2
2023GQ0013132,1,,,2
2023GQ0013138,1,71,,3
2023GQ0013142,1,0,,3
2023GQ0013163,1,,,2
2023GQ0013177,1,,,2
2023GQ0013203,1,,,3
2023GQ0013244,1,,,3
2023GQ0013320,1,,,2
2023GQ0013360,1,,,3
2023GQ0013367,1,,,3
2023GQ0013401,1,,,3
2023GQ0013404,1,90,,3
2023GQ0013454,1,,,3
2023GQ0013461,1,,,2
2023GQ0013476,1,25,,3
2023GQ0013489,1,22,,3
2023GQ0013525,1,,,2
2023GQ0013594,1,,,2
2023GQ0013596,1,0,,3
2023GQ0013640,1,14,,3
2023GQ0013650,1,16,,3
2023GQ0013666,1,47,,3
2023GQ0013675,1,0,,3
2023GQ0013814,1,,,2
2023GQ0013855,1,,,2
2023GQ0013933,1,0,,3
2023GQ0013975,1,,,3
2023GQ0014002,1,103,,3
2023GQ0014058,1,,,3
2023GQ0014114,1,6,,3
2023GQ0014129,1,,,3
2023GQ0014166,1,45,,3
2023GQ0014186,1,,,2
2023GQ0014187,1,0,,3
2023GQ0014203,1,0,,3
2023GQ0014291,1,100,,3
2023GQ0014391,1,,,2
2023GQ0014428,1,,,3
2023GQ0014455,1,,,3
2023GQ0014476,1,76,,3
2023GQ0014480,1,,,2
2023GQ0014493,1,,,3
2023GQ0014527,1,,,2
2023GQ0014598,1,32,,3
2023GQ0014616,1,,,2
2023GQ0014634,1,101,,3
2023GQ0014639,1,,,3
2023GQ0014648,1,,,2
2023GQ0014714,1,,,3
2023GQ0014739,1,40,,3
2023GQ0014766,1,,,3
2023GQ0014788,1,8,,3
2023GQ0014808,1,229,,3
2023GQ0014842,1,0,,3
2023GQ0014860,1,8,,3
2023GQ0014879,1,288,,3
2023GQ0014943,1,,,3
2023GQ0014962,1,6,,3
2023GQ0014972,1,,,3
2023GQ0015015,1,,,3
2023GQ0015073,1,77,,3
2023GQ0015138,1,33,,3
2023GQ0015207,1,67,,3
2023GQ0015250,1,87,,3
2023GQ0015307,1,,,2
2023GQ0015323,1,9,,3
2023GQ0015346,1,,,3
2023GQ0015397,1,151,,3
2023GQ0015412,1,113,,3
2023GQ0015432,1,70,,3
2023GQ0015509,1,,,2
2023GQ0015549,1,,,3
2023GQ0015583,1,118,,3
2023GQ0015611,1,,,2
2023GQ0015646,1,,,3
2023GQ0015684,1,68,,3
2023GQ0015701,1,,,2
2023GQ0015706,1,222,,3
2023GQ0015813,1,0,,3
2023GQ0015819,1,71,,3
2023GQ0015846,1,,,3
2023GQ0015854,1,,,3
2023GQ0015935,1,124,,3
2023GQ0016109,1,,,3
2023GQ0016122,1,0,,3
2023GQ0016217,1,43,,3
2023GQ0016223,1,51,,3
2023GQ0016305,1,,,2
2023GQ0016327,1,,,3
2023GQ0016345,1,,,2
2023GQ0016346,1,7,,3
2023GQ0016351,1,132,,3
2023GQ0016364,1,,,3
2023GQ0016396,1,,,2
2023GQ0016403,1,,,3
2023GQ0016438,1,,,3
2023GQ0016455,1,,,3
2023GQ0016537,1,11,,3
2023GQ0016582,1,132,,3
2023GQ0016585,1,,,2
2023GQ0016596,1,,,3
2023GQ0016636,1,150,,3
2023GQ0016703,1,,,2
2023GQ0016778,1,,,3
2023GQ0016784,1,,,3
2023GQ0016787,1,,,2
2023GQ0016843,1,114,,3
2023GQ0016872,1,,,2
2023GQ0016957,1,,,3
2023GQ0016987,1,,,2
2023GQ0016993,1,,,3
2023GQ0017092,1,,,2
2023GQ0017095,1,0,,3
2023GQ0017184,1,,,2
2023GQ0017191,1,,,3
2023GQ0017197,1,0,,3
2023GQ0017200,1,0,,3
2023GQ0017243,1,0,,3
2023GQ0017302,1,,,3
2023GQ0017320,1,93,,3
2023GQ0017438,1,132,,3
2023GQ0017496,1,97,,3
2023GQ0017538,1,103,,3
2023GQ0017545,1,,,2
2023GQ0017556,1,150,,3
2023GQ0017573,1,,,3
2023GQ0017622,1,19,,3
2023GQ0017642,1,0,,3
2023GQ0017684,1,,,2
2023GQ0017744,1,,,3
2023GQ0017790,1,,,3
2023GQ0017861,1,136,,3
2023GQ0017869,1,,,3
2023GQ0017874,1,,,3
2023GQ0017936,1,,,3
2023GQ0018061,1,,,2
2023GQ0018063,1,,,3
2023GQ0018084,1,,,3
2023GQ0018110,1,19,,3
2023GQ0018176,1,223,,3
2023GQ0018184,1,,,2
2023GQ0018219,1,,,2
2023GQ0018242,1,,,3
2023GQ0018249,1,73,,3
2023GQ0018291,1,132,,3
2023GQ0018373,1,180,,3
2023GQ0018389,1,,,3
2023GQ0018394,1,,,3
2023GQ0018413,1,,,3
2023GQ0018421,1,12,,3
2023GQ0018463,1,,,2
2023GQ0018586,1,,,3
2023GQ0018645,1,,,2
2023GQ0018711,1,,,3
2023GQ0018725,1,,,3
2023GQ0018732,1,,,2
2023GQ0018788,1,0,,3
2023GQ0018811,1,103,,3
2023GQ0018849,1,,,3
2023GQ0019031,1,,,2
2023GQ0019076,1,,,2
2023GQ0019111,1,,,2
2023GQ0019293,1,13,,3
2023GQ0019327,1,0,,3
2023GQ0019332,1,,,3
2023GQ0019350,1,58,,3
2023GQ0019454,1,,,2
2023GQ0019476,1,,,3
2023GQ0019487,1,,,3
2023GQ0019510,1,,,3
2023GQ0019638,1,,,2
2023GQ0019717,1,0,,3
2023GQ0019740,1,,,2
2023GQ0019786,1,,,2
2023GQ0019787,1,,,2
2023GQ0019838,1,142,,3
2023GQ0019892,1,,,2
2023GQ0019902,1,,,3
2023GQ0019911,1,,,2
2023GQ0019930,1,31,,3
2023GQ0020011,1,,,3
