SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0068422,1,0,,3
2023GQ0070352,1,,,3
2023GQ0071147,1,86,,3
2023GQ0071211,1,,,2
2023GQ0071679,1,,,3
2023GQ0071792,1,,,2
2023GQ0072023,1,,,3
2023GQ0072028,1,0,,3
2023GQ0072032,1,98,,3
2023GQ0072528,1,64,,3
2023GQ0072594,1,,,3
2023GQ0072750,1,,,3
2023GQ0074528,1,46,,3
2023GQ0074610,1,76,,3
2023GQ0074645,1,,,2
2023GQ0075229,1,0,,3
2023GQ0076599,1,0,,3
2023GQ0077130,1,,,3
2023GQ0077796,1,,,3
2023GQ0078001,1,108,,3
2023GQ0078672,1,126,,3
2023GQ0078767,1,0,,3
2023GQ0079124,1,483,,3
2023GQ0079247,1,0,,3
2023GQ0079529,1,,,3
2023GQ0079827,1,,,3
2023GQ0079885,1,94,,3
2023GQ0080026,1,,,2
2023GQ0080203,1,,,3
2023GQ0080376,1,,,3
2023GQ0080957,1,,,2
2023GQ0081322,1,,,2
2023GQ0081584,1,120,,3
2023GQ0081794,1,35,,3
2023GQ0082198,1,111,,3
2023GQ0082281,1,60,,3
2023GQ0082785,1,,,3
2023GQ0082816,1,354,,3
2023GQ0083275,1,0,,3
2023GQ0083348,1,0,,3
2023GQ0083623,1,0,,3
2023GQ0083690,1,0,,3
2023GQ0083696,1,,,2
2023GQ0084057,1,84,,3
2023GQ0084119,1,98,,3
2023GQ0084315,1,,,2
2023GQ0084343,1,4,,3
2023GQ0084439,1,0,,3
2023GQ0084509,1,76,,3
2023GQ0084568,1,139,,3
2023GQ0084716,1,,,2
2023GQ0084894,1,41,,3
2023GQ0085083,1,97,,3
2023GQ0085084,1,,,3
2023GQ0085124,1,0,,3
2023GQ0085478,1,,,2
2023GQ0085978,1,,,3
2023GQ0086519,1,132,,3
2023GQ0086890,1,64,,3
2023GQ0087158,1,64,,3
2023GQ0087337,1,,,2
2023GQ0087385,1,192,,3
2023GQ0087775,1,117,,3
2023GQ0088704,1,40,,3
2023GQ0088780,1,3,,3
2023GQ0088868,1,,,2
2023GQ0090042,1,,,2
2023GQ0090378,1,,,3
2023GQ0091865,1,,,2
2023GQ0092007,1,123,,3
2023GQ0092066,1,98,,3
2023GQ0092594,1,,,3
2023GQ0092765,1,,,3
2023GQ0092793,1,64,,3
2023GQ0093026,1,,,3
2023GQ0093135,1,94,,3
2023GQ0093194,1,0,,3
2023GQ0094336,1,,,2
2023GQ0095240,1,199,,3
2023GQ0095506,1,,,2
2023GQ0095675,1,95,,3
2023GQ0096177,1,7,,3
2023GQ0096395,1,108,,3
2023GQ0096439,1,501,,3
2023GQ0096659,1,,,3
2023GQ0096744,1,0,,3
2023GQ0097580,1,,,3
2023GQ0098096,1,64,,3
2023GQ0098891,1,0,,3
2023GQ0098909,1,,,3
2023GQ0099871,1,42,,3
2023GQ0100309,1,,,3
2023GQ0101127,1,0,,3
2023GQ0101435,1,7,,3
2023GQ0101780,1,152,,3
2023GQ0102060,1,0,,3
2023GQ0102209,1,,,3
2023GQ0102226,1,,,3
2023GQ0104446,1,83,,3
2023GQ0104855,1,7,,3
2023GQ0104975,1,,,2
2023GQ0106671,1,64,,3
2023GQ0106781,1,,,3
2023GQ0106967,1,,,3
2023GQ0106996,1,,,2
2023GQ0107242,1,,,3
2023GQ0107698,1,,,2
2023GQ0107804,1,0,,3
2023GQ0109520,1,,,3
2023GQ0110364,1,,,2
2023GQ0110432,1,17,,3
2023GQ0110933,1,,,3
2023GQ0111138,1,,,3
2023GQ0111584,1,,,3
2023GQ0112082,1,0,,3
2023GQ0112548,1,,,3
2023GQ0112590,1,82,,3
2023GQ0113157,1,,,3
2023GQ0113573,1,17,,3
2023GQ0113813,1,0,,3
2023GQ0113899,1,,,3
2023GQ0114334,1,489,,3
2023GQ0114354,1,40,,3
2023GQ0114578,1,,,3
2023GQ0114681,1,,,3
2023GQ0115405,1,108,,3
2023GQ0115449,1,35,,3
2023GQ0115575,1,,,3
2023GQ0116250,1,0,,3
2023GQ0116518,1,76,,3
2023GQ0116588,1,0,,3
2023GQ0116742,1,,,3
2023GQ0116762,1,,,2
2023GQ0117012,1,0,,3
2023GQ0117023,1,,,3
2023GQ0117279,1,,,2
2023GQ0117280,1,38,,3
2023GQ0117681,1,17,,3
2023GQ0117772,1,95,,3
2023GQ0117778,1,,,3
2023GQ0118811,1,91,,3
2023GQ0119509,1,78,,3
2023GQ0121033,1,,,3
2023GQ0121206,1,4,,3
2023GQ0121897,1,0,,3
2023GQ0122126,1,,,3
2023GQ0122331,1,113,,3
2023GQ0122702,1,0,,3
2023GQ0122951,1,17,,3
2023GQ0122972,1,,,3
2023GQ0123179,1,280,,3
2023GQ0123385,1,,,2
2023GQ0124267,1,0,,3
2023GQ0124434,1,,,2
2023GQ0124559,1,,,3
2023GQ0124755,1,,,3
2023GQ0126235,1,0,,3
2023GQ0126483,1,,,2
2023GQ0127014,1,,,2
2023GQ0127196,1,,,3
2023GQ0127541,1,290,,3
2023GQ0128322,1,,,2
2023GQ0128530,1,,,3
2023GQ0129722,1,233,,3
2023GQ0130519,1,,,3
2023GQ0130654,1,,,2
2023GQ0130722,1,76,,3
2023GQ0130920,1,,,3
2023GQ0131505,1,76,,3
2023GQ0131543,1,100,,3
2023GQ0132078,1,0,,3
2023GQ0132327,1,64,,3
2023GQ0132906,1,0,,3
2023GQ0133500,1,95,,3
2023GQ0134650,1,280,,3
2023GQ0135067,1,,,2
2023GQ0135171,1,0,,3
2023GQ0135362,1,86,,3
2023GQ0135404,1,0,,3
2023GQ0135921,1,154,,3
2023GQ0136002,1,220,,3
2023GQ0136562,1,0,,3
2023GQ0136797,1,,,3
2023GQ0137569,1,,,2
2023GQ0137667,1,,,3
2023GQ0137740,1,,,3
2023GQ0137990,1,17,,3
2023GQ0138246,1,41,,3
2023GQ0138257,1,81,,3
2023GQ0138263,1,,,2
2023GQ0138488,1,,,2
2023GQ0138739,1,,,3
2023GQ0138754,1,,,3
2023GQ0138899,1,,,3
2023GQ0139017,1,,,3
2023GQ0140218,1,8,,3
2023GQ0140271,1,0,,3
2023GQ0140621,1,,,3
2023GQ0140634,1,0,,3
2023GQ0141541,1,,,3
2023GQ0141896,1,,,2
2023GQ0142024,1,233,,3
2023GQ0142274,1,418,,3
2023GQ0142453,1,,,3
2023GQ0142575,1,,,2
2023GQ0142702,1,35,,3
2023GQ0143019,1,0,,3
2023GQ0143212,1,41,,3
2023GQ0143244,1,,,2
2023GQ0143502,1,,,2
2023GQ0143806,1,0,,3
2023GQ0143967,1,4,,3
2023GQ0144505,1,17,,3
2023GQ0144635,1,0,,3
2023GQ0144742,1,,,3
2023GQ0145236,1,,,3
2023GQ0146261,1,,,3
2023GQ0146463,1,0,,3
2023GQ0146514,1,,,3
2023GQ0147262,1,0,,3
2023GQ0147558,1,,,3
2023GQ0147619,1,,,3
2023GQ0147685,1,0,,3
2023GQ0148205,1,,,3
2023GQ0148330,1,301,,3
2023GQ0148943,1,,,2
2023GQ0149069,1,7,,3
2023GQ0149527,1,483,,3
2023GQ0149648,1,8,,3
2023GQ0149691,1,,,3
2023GQ0150412,1,,,3
2023GQ0150583,1,,,3
2023GQ0150984,1,0,,3
2023GQ0151229,1,0,,3
2023GQ0151230,1,77,,3
2023GQ0151542,1,,,3
2023GQ0152065,1,,,3
2023GQ0152174,1,,,2
2023GQ0152254,1,0,,3
2023GQ0152591,1,64,,3
2023GQ0153231,1,0,,3
2023GQ0153412,1,38,,3
2023GQ0153727,1,,,3
2023GQ0153936,1,97,,3
2023GQ0154011,1,79,,3
2023GQ0154754,1,,,2
2023GQ0155007,1,385,,3
2023GQ0155052,1,,,3
2023GQ0155355,1,,,2
2023GQ0155764,1,26,,3
2023GQ0155891,1,,,3
2023GQ0155900,1,,,3
2023GQ0156264,1,40,,3
2023GQ0156494,1,,,3
2023GQ0156518,1,,,2
2023GQ0156732,1,139,,3
2023GQ0157518,1,,,2
2023GQ0158513,1,,,3
2023GQ0158576,1,64,,3
2023GQ0158957,1,,,2
2023GQ0159307,1,,,3
2023GQ0159935,1,,,3
2023GQ0160305,1,0,,3
2023GQ0160354,1,369,,3
2023GQ0160978,1,,,3
2023GQ0162575,1,,,2
2023GQ0163213,1,0,,3
2023GQ0163414,1,,,3
2023GQ0163685,1,115,,3
2023GQ0163821,1,,,3
2023GQ0163837,1,,,3
2023GQ0164071,1,,,2
2023GQ0164914,1,0,,3
2023GQ0165393,1,,,2
2023GQ0165687,1,0,,3
2023GQ0165742,1,,,3
2023GQ0166237,1,,,2
2023GQ0166610,1,,,3
2023GQ0166695,1,0,,3
2023GQ0166760,1,64,,3
2023GQ0166795,1,83,,3
2023GQ0166944,1,233,,3
2023GQ0167165,1,0,,3
2023GQ0169813,1,120,,3
2023GQ0170132,1,,,3
2023GQ0170153,1,0,,3
2023GQ0170916,1,108,,3
2023GQ0172270,1,56,,3
2023GQ0172714,1,155,,3
2023GQ0172776,1,,,3
2023GQ0172820,1,0,,3
2023GQ0172998,1,0,,3
2023GQ0173055,1,,,3
2023GQ0173243,1,280,,3
2023GQ0173335,1,5,,3
2023GQ0173372,1,35,,3
2023GQ0174233,1,,,3
2023GQ0174236,1,,,3
2023GQ0174269,1,38,,3
2023GQ0174461,1,,,3
2023GQ0174529,1,,,2
2023GQ0174602,1,,,3
2023GQ0174637,1,290,,3
2023GQ0174745,1,79,,3
2023GQ0175705,1,233,,3
2023GQ0176729,1,,,3
2023HU0000062,1,501,3,1
2023HU0000062,2,501,3,1
2023HU0000112,1,228,3,1
2023HU0000112,2,228,3,1
2023HU0000112,3,228,3,1
2023HU0000112,4,228,3,1
2023HU0000350,1,501,1,1
2023HU0000350,2,501,1,1
2023HU0000737,1,501,2,1
